region,year,month,T?ng s?n lý?ng,prev_value,Ph?n trãm tãng trý?ng
CENTRAL,2012,01/07/2012,6649,,
CENTRAL,2012,01/08/2012,7445,6649,11.97172507
CENTRAL,2012,01/09/2012,5976,7445,-19.73136333
CENTRAL,2012,01/10/2012,4787,5976,-19.89625167
CENTRAL,2012,01/11/2012,4439,4787,-7.26968874
CENTRAL,2012,01/12/2012,7929,4439,78.62131111
CENTRAL,2013,01/01/2013,4528,7929,-42.89317695
CENTRAL,2013,01/02/2013,5246,4528,15.85689046
CENTRAL,2013,01/03/2013,7823,5246,49.12314144
CENTRAL,2013,01/04/2013,11322,7823,44.7270868
CENTRAL,2013,01/05/2013,10195,11322,-9.954071719
CENTRAL,2013,01/06/2013,10373,10195,1.745953899
CENTRAL,2013,01/07/2013,9223,10373,-11.0864745
CENTRAL,2013,01/08/2013,9162,9223,-0.661390003
CENTRAL,2013,01/09/2013,6538,9162,-28.64003493
CENTRAL,2013,01/10/2013,5041,6538,-22.89691037
CENTRAL,2013,01/11/2013,4513,5041,-10.47411228
CENTRAL,2013,01/12/2013,7427,4513,64.56902282
CENTRAL,2014,01/01/2014,4354,7427,-41.37606032
CENTRAL,2014,01/02/2014,4159,4354,-4.478640331
CENTRAL,2014,01/03/2014,9007,4159,116.5664823
CENTRAL,2014,01/04/2014,11927,9007,32.41922949
CENTRAL,2014,01/05/2014,11574,11927,-2.959671334
CENTRAL,2014,01/06/2014,10287,11574,-11.11975117
CENTRAL,2014,01/07/2014,8713,10287,-15.30086517
CENTRAL,2014,01/08/2014,9518,8713,9.239068059
CENTRAL,2014,01/09/2014,6501,9518,-31.69783568
CENTRAL,2014,01/10/2014,4723,6501,-27.34963852
CENTRAL,2014,01/11/2014,4294,4723,-9.083209824
CENTRAL,2014,01/12/2014,6826,4294,58.96599907
CENTRAL,2015,01/01/2015,3950,6826,-42.1330208
CENTRAL,2015,01/02/2015,5006,3950,26.73417722
CENTRAL,2015,01/03/2015,7673,5006,53.27606872
CENTRAL,2015,01/04/2015,12136,7673,58.16499414
CENTRAL,2015,01/05/2015,10593,12136,-12.71423863
CENTRAL,2015,01/06/2015,9804,10593,-7.448314925
CENTRAL,2015,01/07/2015,8416,9804,-14.15748674
CENTRAL,2015,01/08/2015,8805,8416,4.622148289
