region,year,Ph?n trãm tãng trý?ng s?n lý?ng trung b?nh m?i tháng,T?ng s?n lý?ng c?a nãm
CENTRAL,2012,8.74,37225
CENTRAL,2013,4.12,91391
CENTRAL,2014,6.15,91883
CENTRAL,2015,6.14,92443
CENTRAL,2016,3.72,94611
CENTRAL,2017,4.73,89078
CENTRAL,2018,3.86,89603
CENTRAL,2019,2.19,52418
CENTRAL,2020,5.76,44448
CENTRAL,2021,8.13,44212
CENTRAL,2022,5.75,44937
EAST,2012,14.31,65109
EAST,2013,5.73,148791
EAST,2014,6.38,156819
EAST,2015,6.22,159240
EAST,2016,4.82,155354
EAST,2017,3.02,143751
EAST,2018,1.81,126874
EAST,2019,3.16,78685
EAST,2020,6.21,64407
EAST,2021,7.59,64970
EAST,2022,7.03,66538
WEST,2012,14.08,39662
WEST,2013,3.53,93998
WEST,2014,3.63,101399
WEST,2015,2.08,102161
WEST,2016,0.79,99122
WEST,2017,0.17,87519
WEST,2018,-0.95,70968
WEST,2019,-1.27,41664
WEST,2020,1.09,33049
WEST,2021,3.33,31388
WEST,2022,1.97,33857
