region,year,month,total_quantity
CENTRAL,2012,01/07/2012,6649
CENTRAL,2012,01/08/2012,7445
CENTRAL,2012,01/09/2012,5976
CENTRAL,2012,01/10/2012,4787
CENTRAL,2012,01/11/2012,4439
CENTRAL,2012,01/12/2012,7929
CENTRAL,2013,01/01/2013,4528
CENTRAL,2013,01/02/2013,5246
CENTRAL,2013,01/03/2013,7823
CENTRAL,2013,01/04/2013,11322
CENTRAL,2013,01/05/2013,10195
CENTRAL,2013,01/06/2013,10373
CENTRAL,2013,01/07/2013,9223
CENTRAL,2013,01/08/2013,9162
CENTRAL,2013,01/09/2013,6538
CENTRAL,2013,01/10/2013,5041
CENTRAL,2013,01/11/2013,4513
CENTRAL,2013,01/12/2013,7427
CENTRAL,2014,01/01/2014,4354
CENTRAL,2014,01/02/2014,4159
CENTRAL,2014,01/03/2014,9007
CENTRAL,2014,01/04/2014,11927
CENTRAL,2014,01/05/2014,11574
CENTRAL,2014,01/06/2014,10287
CENTRAL,2014,01/07/2014,8713
CENTRAL,2014,01/08/2014,9518
CENTRAL,2014,01/09/2014,6501
CENTRAL,2014,01/10/2014,4723
CENTRAL,2014,01/11/2014,4294
CENTRAL,2014,01/12/2014,6826
CENTRAL,2015,01/01/2015,3950
CENTRAL,2015,01/02/2015,5006
CENTRAL,2015,01/03/2015,7673
CENTRAL,2015,01/04/2015,12136
CENTRAL,2015,01/05/2015,10593
CENTRAL,2015,01/06/2015,9804
CENTRAL,2015,01/07/2015,8416
CENTRAL,2015,01/08/2015,8805
CENTRAL,2015,01/09/2015,7743
CENTRAL,2015,01/10/2015,5799
CENTRAL,2015,01/11/2015,4775
CENTRAL,2015,01/12/2015,7743
CENTRAL,2016,01/01/2016,4909
CENTRAL,2016,01/02/2016,5219
CENTRAL,2016,01/03/2016,7753
CENTRAL,2016,01/04/2016,12342
CENTRAL,2016,01/05/2016,11420
CENTRAL,2016,01/06/2016,11513
CENTRAL,2016,01/07/2016,8342
CENTRAL,2016,01/08/2016,9795
CENTRAL,2016,01/09/2016,6273
CENTRAL,2016,01/10/2016,5060
CENTRAL,2016,01/11/2016,4974
CENTRAL,2016,01/12/2016,7011
CENTRAL,2017,01/01/2017,3322
CENTRAL,2017,01/02/2017,4191
CENTRAL,2017,01/03/2017,8407
CENTRAL,2017,01/04/2017,10331
CENTRAL,2017,01/05/2017,11915
CENTRAL,2017,01/06/2017,12513
CENTRAL,2017,01/07/2017,8449
CENTRAL,2017,01/08/2017,8324
CENTRAL,2017,01/09/2017,6369
CENTRAL,2017,01/10/2017,5062
CENTRAL,2017,01/11/2017,4439
CENTRAL,2017,01/12/2017,5756
CENTRAL,2018,01/01/2018,3697
CENTRAL,2018,01/02/2018,4634
CENTRAL,2018,01/03/2018,8093
CENTRAL,2018,01/04/2018,10527
CENTRAL,2018,01/05/2018,12831
CENTRAL,2018,01/06/2018,14976
CENTRAL,2018,01/07/2018,9761
CENTRAL,2018,01/08/2018,8360
CENTRAL,2018,01/09/2018,4981
CENTRAL,2018,01/10/2018,4068
CENTRAL,2018,01/11/2018,3146
CENTRAL,2018,01/12/2018,4529
CENTRAL,2019,01/01/2019,2964
CENTRAL,2019,01/02/2019,3595
CENTRAL,2019,01/03/2019,5247
CENTRAL,2019,01/04/2019,5480
CENTRAL,2019,01/05/2019,6051
CENTRAL,2019,01/06/2019,6135
CENTRAL,2019,01/07/2019,4526
CENTRAL,2019,01/08/2019,5885
CENTRAL,2019,01/09/2019,3522
CENTRAL,2019,01/10/2019,2750
CENTRAL,2019,01/11/2019,2596
CENTRAL,2019,01/12/2019,3667
CENTRAL,2020,01/01/2020,1965
CENTRAL,2020,01/02/2020,2367
CENTRAL,2020,01/03/2020,4759
CENTRAL,2020,01/04/2020,5791
CENTRAL,2020,01/05/2020,5218
CENTRAL,2020,01/06/2020,4641
CENTRAL,2020,01/07/2020,4414
CENTRAL,2020,01/08/2020,4698
CENTRAL,2020,01/09/2020,3098
CENTRAL,2020,01/10/2020,2597
CENTRAL,2020,01/11/2020,1796
CENTRAL,2020,01/12/2020,3104
CENTRAL,2021,01/01/2021,1575
CENTRAL,2021,01/02/2021,2285
CENTRAL,2021,01/03/2021,5191
CENTRAL,2021,01/04/2021,5474
CENTRAL,2021,01/05/2021,5786
CENTRAL,2021,01/06/2021,4730
CENTRAL,2021,01/07/2021,4457
CENTRAL,2021,01/08/2021,4062
CENTRAL,2021,01/09/2021,3408
CENTRAL,2021,01/10/2021,2266
CENTRAL,2021,01/11/2021,1899
CENTRAL,2021,01/12/2021,3079
CENTRAL,2022,01/01/2022,2214
CENTRAL,2022,01/02/2022,2589
CENTRAL,2022,01/03/2022,5268
CENTRAL,2022,01/04/2022,5859
CENTRAL,2022,01/05/2022,4776
CENTRAL,2022,01/06/2022,5222
CENTRAL,2022,01/07/2022,3949
CENTRAL,2022,01/08/2022,4167
CENTRAL,2022,01/09/2022,3222
CENTRAL,2022,01/10/2022,2416
CENTRAL,2022,01/11/2022,2051
CENTRAL,2022,01/12/2022,3204
EAST,2012,01/07/2012,10517
EAST,2012,01/08/2012,12927
EAST,2012,01/09/2012,10505
EAST,2012,01/10/2012,8202
EAST,2012,01/11/2012,7805
EAST,2012,01/12/2012,15153
EAST,2013,01/01/2013,6184
EAST,2013,01/02/2013,7729
EAST,2013,01/03/2013,12787
EAST,2013,01/04/2013,17144
EAST,2013,01/05/2013,16545
EAST,2013,01/06/2013,16542
EAST,2013,01/07/2013,14780
EAST,2013,01/08/2013,15078
EAST,2013,01/09/2013,10631
EAST,2013,01/10/2013,8989
EAST,2013,01/11/2013,8369
EAST,2013,01/12/2013,14013
EAST,2014,01/01/2014,7892
EAST,2014,01/02/2014,7644
EAST,2014,01/03/2014,15012
EAST,2014,01/04/2014,17876
EAST,2014,01/05/2014,19648
EAST,2014,01/06/2014,16894
EAST,2014,01/07/2014,14240
EAST,2014,01/08/2014,15020
EAST,2014,01/09/2014,9570
EAST,2014,01/10/2014,9083
EAST,2014,01/11/2014,9080
EAST,2014,01/12/2014,14860
EAST,2015,01/01/2015,6416
EAST,2015,01/02/2015,8727
EAST,2015,01/03/2015,12750
EAST,2015,01/04/2015,21343
EAST,2015,01/05/2015,18414
EAST,2015,01/06/2015,16787
EAST,2015,01/07/2015,13898
EAST,2015,01/08/2015,14400
EAST,2015,01/09/2015,13555
EAST,2015,01/10/2015,9576
EAST,2015,01/11/2015,9020
EAST,2015,01/12/2015,14354
EAST,2016,01/01/2016,7866
EAST,2016,01/02/2016,8523
EAST,2016,01/03/2016,13168
EAST,2016,01/04/2016,20715
EAST,2016,01/05/2016,18568
EAST,2016,01/06/2016,17781
EAST,2016,01/07/2016,13727
EAST,2016,01/08/2016,15469
EAST,2016,01/09/2016,10156
EAST,2016,01/10/2016,7941
EAST,2016,01/11/2016,8252
EAST,2016,01/12/2016,13188
EAST,2017,01/01/2017,6753
EAST,2017,01/02/2017,6692
EAST,2017,01/03/2017,13141
EAST,2017,01/04/2017,16779
EAST,2017,01/05/2017,17932
EAST,2017,01/06/2017,19181
EAST,2017,01/07/2017,13943
EAST,2017,01/08/2017,13207
EAST,2017,01/09/2017,10014
EAST,2017,01/10/2017,8755
EAST,2017,01/11/2017,7484
EAST,2017,01/12/2017,9870
EAST,2018,01/01/2018,6063
EAST,2018,01/02/2018,6974
EAST,2018,01/03/2018,10820
EAST,2018,01/04/2018,15520
EAST,2018,01/05/2018,18181
EAST,2018,01/06/2018,19843
EAST,2018,01/07/2018,13010
EAST,2018,01/08/2018,12223
EAST,2018,01/09/2018,7535
EAST,2018,01/10/2018,5793
EAST,2018,01/11/2018,4443
EAST,2018,01/12/2018,6469
EAST,2019,01/01/2019,4149
EAST,2019,01/02/2019,5227
EAST,2019,01/03/2019,7536
EAST,2019,01/04/2019,8695
EAST,2019,01/05/2019,8726
EAST,2019,01/06/2019,9052
EAST,2019,01/07/2019,7404
EAST,2019,01/08/2019,7944
EAST,2019,01/09/2019,5707
EAST,2019,01/10/2019,4530
EAST,2019,01/11/2019,3707
EAST,2019,01/12/2019,6008
EAST,2020,01/01/2020,2596
EAST,2020,01/02/2020,2918
EAST,2020,01/03/2020,6987
EAST,2020,01/04/2020,8938
EAST,2020,01/05/2020,7778
EAST,2020,01/06/2020,6706
EAST,2020,01/07/2020,5883
EAST,2020,01/08/2020,6828
EAST,2020,01/09/2020,4779
EAST,2020,01/10/2020,3778
EAST,2020,01/11/2020,2903
EAST,2020,01/12/2020,4313
EAST,2021,01/01/2021,2335
EAST,2021,01/02/2021,3737
EAST,2021,01/03/2021,7792
EAST,2021,01/04/2021,8412
EAST,2021,01/05/2021,8134
EAST,2021,01/06/2021,7721
EAST,2021,01/07/2021,5926
EAST,2021,01/08/2021,5961
EAST,2021,01/09/2021,4131
EAST,2021,01/10/2021,3479
EAST,2021,01/11/2021,2876
EAST,2021,01/12/2021,4466
