rank_by_revenue,district,region,total_revenue,market_share_pct
1,DISTRICT #38,WEST,545273319.8,4.08
2,DISTRICT #37,WEST,540005816.85,4.04
3,DISTRICT #10,EAST,537997156.66,4.02
4,DISTRICT #23,CENTRAL,514876450.74,3.85
5,DISTRICT #34,WEST,451564334.21,3.38
6,DISTRICT #19,EAST,429900138.68,3.22
7,DISTRICT #36,WEST,421916456.1,3.16
8,DISTRICT #39,WEST,421675473.7,3.15
9,DISTRICT #33,WEST,412406579.07,3.09
10,DISTRICT #09,EAST,392412139.53,2.94
11,DISTRICT #03,EAST,381545275.99,2.85
12,DISTRICT #22,CENTRAL,378570761.12,2.83
13,DISTRICT #11,EAST,369927991.15,2.77
14,DISTRICT #12,EAST,369720633.51,2.77
15,DISTRICT #24,CENTRAL,369325489.97,2.76
16,DISTRICT #18,EAST,364980455.38,2.73
17,DISTRICT #04,EAST,359151156.89,2.69
18,DISTRICT #07,EAST,358269256.69,2.68
19,DISTRICT #02,EAST,346302653.94,2.59
20,DISTRICT #35,WEST,336264051.64,2.52
21,DISTRICT #20,CENTRAL,327141669.7,2.45
22,DISTRICT #21,CENTRAL,321555044.74,2.41
23,DISTRICT #31,CENTRAL,314039002.24,2.35
24,DISTRICT #30,CENTRAL,308389189.89,2.31
25,DISTRICT #25,CENTRAL,307397991.72,2.3
26,DISTRICT #05,EAST,302032481.29,2.26
27,DISTRICT #28,CENTRAL,293326569.65,2.19
28,DISTRICT #14,EAST,283815404.65,2.12
29,DISTRICT #01,EAST,276666143.58,2.07
30,DISTRICT #16,EAST,274147957.55,2.05
31,DISTRICT #17,EAST,265977906.66,1.99
32,DISTRICT #08,EAST,260389615.72,1.95
33,DISTRICT #13,EAST,245223996.18,1.83
34,DISTRICT #29,CENTRAL,240305881.68,1.8
35,DISTRICT #26,CENTRAL,229161829.88,1.71
36,DISTRICT #15,EAST,226638171.31,1.7
37,DISTRICT #32,CENTRAL,213053294.38,1.59
38,DISTRICT #27,CENTRAL,201283013.75,1.51
39,DISTRICT #06,EAST,175117604.98,1.31
